Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_VIXD,CBOE S&P 500 Volatility Index (VIX),Stocks - Technical Indicators,Non Currency Series,United States,,,,,,,Index Number ,Units,Stock,none,Daily From Jan 1986 To Apr 2022<BR>,,
Date,Ticker,Open,High,Low,Close
01/19/1999,_VIXD,,,,29.8
01/20/1999,_VIXD,,,,29.43
01/21/1999,_VIXD,,,,31.95
01/22/1999,_VIXD,,,,32.85
01/25/1999,_VIXD,,,,31.67
01/26/1999,_VIXD,,,,28.85
01/27/1999,_VIXD,,,,31.36
01/28/1999,_VIXD,,,,28.61
01/29/1999,_VIXD,,,,26.53
02/01/1999,_VIXD,,,,27.66
02/02/1999,_VIXD,,,,29.02
02/03/1999,_VIXD,,,,27.95
02/04/1999,_VIXD,,,,31.15
02/05/1999,_VIXD,,,,30.47
02/08/1999,_VIXD,,,,30.43
02/09/1999,_VIXD,,,,32.51
02/10/1999,_VIXD,,,,31.44
02/11/1999,_VIXD,,,,28.17
02/12/1999,_VIXD,,,,31.35
02/16/1999,_VIXD,,,,32.42
02/17/1999,_VIXD,,,,32.51
02/18/1999,_VIXD,,,,32.76
02/19/1999,_VIXD,,,,30.23
02/22/1999,_VIXD,,,,26.8
02/23/1999,_VIXD,,,,26.93
02/24/1999,_VIXD,,,,28.81
02/25/1999,_VIXD,,,,28.7
02/26/1999,_VIXD,,,,29.52
03/01/1999,_VIXD,,,,28.84
03/02/1999,_VIXD,,,,30.58
03/03/1999,_VIXD,,,,29.98
03/04/1999,_VIXD,,,,28.18
03/05/1999,_VIXD,,,,25.12
03/08/1999,_VIXD,,,,24.98
03/09/1999,_VIXD,,,,25.26
03/10/1999,_VIXD,,,,25.4
03/11/1999,_VIXD,,,,25.52
03/12/1999,_VIXD,,,,25.81
03/15/1999,_VIXD,,,,26.12
03/16/1999,_VIXD,,,,26.19
